num_cities,num_procs,speed,num_cores,milestone,length,route
12,5,0.170055,0,Milestone 2,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,6,0.091412,0,Milestone 2,1734.490866,0 1 9 10 5 7 11 8 3 4 6 2 
12,7,0.245117,0,Milestone 2,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,8,0.194001,0,Milestone 2,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
16,16,18.816516,0,Milestone 2,1878.164442,0 14 13 12 2 6 4 3 8 11 7 15 5 10 9 1 
12,9,0.170929,0,Milestone 2,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,10,0.184991,0,Milestone 2,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,32,0.088146,0,Milestone 2,1734.490866,0 1 9 10 5 7 11 8 3 4 6 2 
12,64,0.080404,0,Milestone 2,1734.490866,0 1 9 10 5 7 11 8 3 4 6 2 
13,1,0.544629,0,Milestone 2,1760.045085,0 12 2 6 4 3 8 11 7 5 10 9 1 
13,2,0.394848,0,Milestone 2,1760.045085,0 1 9 10 5 7 11 8 3 4 6 2 12 
13,3,0.467615,0,Milestone 2,1760.045085,0 1 9 10 5 7 11 8 3 4 6 2 12 
13,4,0.406743,0,Milestone 2,1760.045085,0 1 9 10 5 7 11 8 3 4 6 2 12 
13,5,0.443587,0,Milestone 2,1760.045085,0 1 9 10 5 7 11 8 3 4 6 2 12 
13,6,0.357166,0,Milestone 2,1760.045085,0 1 9 10 5 7 11 8 3 4 6 2 12 
13,7,0.703181,0,Milestone 2,1760.045085,0 1 9 10 5 7 11 8 3 4 6 2 12 
13,8,0.649226,0,Milestone 2,1760.045085,0 1 9 10 5 7 11 8 3 4 6 2 12 
13,9,0.541208,0,Milestone 2,1760.045085,0 1 9 10 5 7 11 8 3 4 6 2 12 
13,10,0.502493,0,Milestone 2,1760.045085,0 1 9 10 5 7 11 8 3 4 6 2 12 
13,16,0.290996,0,Milestone 2,1760.045085,0 1 9 10 5 7 11 8 3 4 6 2 12 
13,32,0.319328,0,Milestone 2,1760.045085,0 1 9 10 5 7 11 8 3 4 6 2 12 
